key,en,fr
home,Home,Accueil
timeline,Timeline,Chronologie
upload,Upload,Telecharger
exposure,Exposure windows,Fenetres de transmission
tree,Transmission tree,Arbre de transmission
cluster_plots,Cluster plots,Traces en grappes
cluster_info,Cluster information,Analyse de grappes
method,Method and Definitions,Methode et definitions
min_incub,Minimum incubation period (days):,Periode d'incubation minimale (jours):
max_incub,Maximum incubation period (days):,Periode d'incubation maximale (jours):
onset_death,Mean period from symptom onset to death (days):,Periode moyenne entre l'apparition des symptomes et le deces (jours):
id,Identifier:,Identifiant:
dod_avail_check,Check box if the date of death is available,Cochez la case si la date du deces est disponsible
dod,Date of death:,Date du deces:
hover,Hover over the plot for more information on each point.,Passez la souris sur le graphique pour plus d'informations sur chaque point.
doso,Reported date of symptom onset:,Date signalée d'apparition des symptômes:
bleeding_check,Check box if the individual was bleeding when onset was reported*.,Cochez la case si la personne saignait au moment du signalement *.
onset_bleeding,Mean time from symptom onset to bleeding (days):,Temps moyen entre l'apparition des symptômes et le saignement (jours):
diarrhea_check,Check box if the individual had diarrhea when symptom onset was reported.,Cochez la case si la personne souffrait de diarrhée lorsque le début des symptômes a été signalé.
onset_diarrhea,Mean time from symptom onset to diarrhea (days):,Temps moyen entre l'apparition des symptômes et la diarrhée (jours):
down_l,Download linelist template,Télécharger le modèle de liste
down_c,Download contacts template,Télécharger le modèle de contacts
upload_l,Upload linelist,Télécharger le linelist
upload_c,Upload contacts,Télécharger le liste de contact
calc_exp_check,Calculate exposure window from onset dates as reported.,"Calculez la fenêtre de transmission à partir des dates de début, comme indiqué."
dod_incon,Dates of death that are inconsistent with reported onset date are denoted with a square.,Les dates de décès qui ne correspondent pas à la date de début déclarée sont indiquées par un carré.
id_compare,Enter a pair of identifiers to compare,Entrez une paire d'identifiants à comparer
down_results,Download results,Télécharger les résultats
error_no_line,No linelist file uploaded yet.,Aucun linelist n'a encore été téléchargé.
show_tree,Show tree with estimated onset dates.,Afficher l'arbre avec les dates de début estimées.
down_c_incon,Download contact inconsistencies,Télécharger les incohérences des contacts
enter_plot_char,Enter a characteristic to show on the plot:,Entrez une caractéristique à afficher sur le graphique:
enter_trans,Enter a transmission type to show on the plot:,Entrez le type de transmission à afficher sur le tracé:
enter_char,Enter (up to 5) characteristics to show on hover:,Entrez les caractéristiques à afficher en survol (jusqu'à 5):
estimated_onset,Estimated onset of symptoms for these parameters is ,Le début estimé des symptômes de ces paramètres est 
estimated_window,The exposure window for these parameters is ,La fenêtre de transmission de ces paramètres est 
incon,inconsistent,inconsistant
no_data,No data will be stored after your session ends,Aucune donnée ne sera stockée après la fin de votre session
error_filetype,"Wrong file type uploaded, file should be a .csv .","Type de fichier incorrect téléchargé pour la liste de fichiers, le fichier doit être un .csv."
error_duplicate,There are duplicate id's in the linelist.,Il y a des identifiants en double dans la linelist.
error_contact,No contacts file uploaded yet.,Aucun fichier de contacts n'a encore été téléchargé.
error_id_missing,Column `id` is missing from linelist.,La colonne «id» est manquante dans la liste.
error_report_missing,Column `reported_onset_date` is missing from linelist.,La colonne «reported_onset_date» est manquante dans la liste.
error_death_missing,Column `death_date` is missing from linelist.,La colonne «death_date» est manquante dans la liste.
down_cl,Download Clusters,Télécharger les clusters
